DATEPRD,CHOKE_SIZE(t),ON_STREAM_HRS(t),Tmax(t),Tmin(t),Pmax(t),Pmin(t),BORE_water_VOL(t),BORE_GAS_VOL(t),BORE_OIL_VOL
2023/4/7,3,21,36,33.5,31,21,109.44,0,0
2023/4/8,3,24,33.5,32,43,31,126.39,0,0
2023/4/9,3,24,32,32,47,43,124.42,0,0
2023/4/10,3.5,24,32,31.5,53.6,47,166.36,0,0
2023/4/11,3.5,13,31.5,31,65.3,53.6,84.92,140,0
2023/4/12,4,24,30,29.8,65.9,61.5,184.97,701,0
2023/4/13,5,10.5,29.8,27.5,75.1,68,119.75,410,0
2023/4/14,4,19,27.3,24.3,74.8,71.5,161.01,666,0
2023/4/15,4,18,27.3,27.2,73.4,71.5,170.4,545,0
2023/4/16,4.5,7,29.5,26.2,65.4,51.9,67.34,270,0
2023/4/17,4.5,24,26.2,26,69.9,65.4,200.31,499,0
2023/4/18,4.5,24,27,26,69.9,69.2,198.62,775,0
2023/4/19,5,18,26.8,26,77.4,69,202.6,150,0
2023/4/23,4,2,26.8,26.8,65.2,64.1,15.1,104,0
2023/4/24,4.5,15,26.3,26.1,68.8,67.3,129.34,893,0
2023/4/25,4.5,24,26.1,26,68.8,68.6,199.97,1237,0
2023/4/26,5,15,25.8,25,76.9,70.3,147.03,1674,3.84
2023/4/27,5,24,25,23.8,79.1,76.9,212.09,5568,6.47
2023/4/28,5,24,23.8,23,79.1,78.7,198.26,4549,7.69
2023/4/29,5,24,23,22.5,80.5,78.7,198.77,3517,8.98
2023/4/30,5,24,22.5,22,80.5,79.5,198.51,3444,10.04
2023/5/1,5,24,22,22,79.5,77.6,195.03,3643,10.91
2023/5/2,5,24,22,21.5,78.5,77.6,197.53,3737,11.72
2023/5/3,5,24,21.5,21.3,78.5,77.4,197.23,3986,12.02
2023/5/4,5,24,21.3,20.5,80.4,77.4,193.59,3976,12.46
2023/5/5,4,23,20.8,20.8,80.4,67.2,138.83,2955,9.59
2023/5/6,4,24,20.8,20.5,68.5,67.2,142.49,3135,10.36
2023/5/7,4,24,20.5,20.5,68.8,68.5,140.81,3131,10.79
2023/5/8,4,24,20.5,20.5,68.5,68.5,138.48,3203,11.44
2023/5/9,4,24,20.5,20.3,68.7,68.5,139.63,2934,11.99
2023/5/10,4,24,20.3,20.3,68.7,68.1,135.75,3341,14.73
2023/5/11,4,24,20.3,20.3,68.3,68.1,133.79,3402,16.71
2023/5/12,4,24,20.3,20.3,68.3,68,132.09,3009,17.96
2023/5/13,4,24,20.3,20.3,68.8,68,131.21,3620,18.87
2023/5/14,4,24,20.3,20.3,69,68.8,130.08,3372,20.53
2023/5/15,4,24,20.3,20.3,69.5,69,128.08,3133,21.37
2023/5/16,4,22,20.3,20.3,69.5,66.5,119.48,3135,20.82
2023/5/18,4,13,24,21.3,60.4,32.4,56.04,1825,26.36
2023/5/19,4,24,21.3,20.8,64.4,60.4,126.49,3211,23.59
2023/5/20,4,24,20.8,20.3,65.9,64.4,124.12,3073,25.18
2023/5/21,4,24,20.3,20,65.9,65,122.4,3318,26.78
2023/5/22,4,24,20,19.8,65.1,65,121.39,3286,27.81
2023/5/23,4,24,19.8,19.5,65.8,65.1,120.86,3204,28.1
2023/5/24,4,24,19.5,19.3,65.8,64.4,120.3,3078,28.88
2023/5/25,4,24,19.3,19.1,65.8,64.4,120.14,3396,28.82
2023/5/26,4,24,19.1,19,65.8,60.8,119.4,3274,29.08
2023/5/30,4,24,21,20,58.3,52.6,103.78,3867,37.56
2023/5/31,4,24,20,19.8,60.2,58.3,110.59,3572,31.65
2023/6/1,4,24,19.8,19.3,60.2,60.2,109.3,3609,32.28
2023/6/2,4,24,19.3,19,60.2,60.2,102.32,3659,33.48
2023/6/3,4,24,19,18.8,60.2,58.1,102.9,3748,32.81
2023/6/4,4,24,18.8,18.8,59.7,58.1,102.91,3726,34.19
2023/6/5,4,24,18.8,18.6,60.8,59.7,98.32,3832,35.5
2023/6/6,4,24,18.6,18.4,60.8,60.5,95.11,3806,35.47
2023/6/7,4,24,18.2,18,62.8,60.5,92.16,3633,35.17
2023/6/8,4,24,18,17.8,62.8,59.7,90.09,3692,36.29
2023/6/9,4,24,18,17.8,59.8,59.7,89.63,3913,37.11
2023/6/10,4,24,17.8,17.6,59.8,59.2,86.39,4090,38.47
